fecha,apertura,maximo,minimo,cierre,origen
2022-12-05,73.32,73.91,73.12,73.57,reconstruido
2022-12-12,73.57,74.13,73.26,73.93,reconstruido
2022-12-19,73.93,74.50,73.32,73.95,reconstruido
2022-12-26,73.95,74.43,73.78,74.13,reconstruido
2023-01-02,74.13,75.34,73.44,74.29,reconstruido
2023-01-09,74.29,74.68,74.00,74.56,reconstruido
2023-01-16,74.56,75.39,74.01,74.89,reconstruido
2023-01-23,74.89,75.51,73.79,74.69,reconstruido
2023-01-30,74.69,75.01,73.76,74.63,reconstruido
2023-02-06,74.63,75.14,74.49,74.93,reconstruido
2023-02-13,74.93,75.15,74.80,74.82,reconstruido
2023-02-20,74.82,75.53,74.24,75.16,reconstruido
2023-02-27,75.16,76.62,75.11,76.10,reconstruido
2023-03-06,76.10,78.20,75.32,77.45,reconstruido
2023-03-13,77.45,78.35,76.81,78.11,reconstruido
2023-03-20,78.11,78.57,77.34,77.76,reconstruido
2023-03-27,77.76,78.85,77.24,77.55,reconstruido
2023-04-03,77.55,77.74,76.80,77.20,reconstruido
2023-04-10,77.20,77.27,76.31,77.08,reconstruido
2023-04-17,77.08,77.94,76.94,77.34,reconstruido
2023-04-24,77.34,78.33,76.57,77.65,reconstruido
2023-05-01,77.65,78.56,76.90,77.79,reconstruido
2023-05-08,77.79,77.92,77.01,77.83,reconstruido
2023-05-15,77.83,78.89,77.47,78.49,reconstruido
2023-05-22,78.49,78.80,78.16,78.41,reconstruido
2023-05-29,78.41,79.00,77.52,78.78,reconstruido
2023-06-05,78.78,79.49,78.73,79.35,reconstruido
2023-06-12,79.35,80.50,78.94,79.90,reconstruido
2023-06-19,79.90,80.36,78.78,79.49,reconstruido
2023-06-26,79.49,79.75,78.46,79.73,reconstruido
2023-07-03,79.73,79.80,79.39,79.65,reconstruido
2023-07-10,79.65,80.16,78.23,79.05,reconstruido
2023-07-17,79.05,79.50,78.55,78.96,reconstruido
2023-07-24,78.96,79.78,78.65,79.29,reconstruido
2023-07-31,79.29,79.73,79.01,79.60,reconstruido
2023-08-07,79.60,80.34,79.47,80.04,reconstruido
2023-08-14,80.04,80.73,79.49,80.30,reconstruido
2023-08-21,80.30,80.75,79.73,80.28,reconstruido
2023-08-28,80.28,80.64,79.62,80.07,reconstruido
2023-09-04,80.07,80.17,79.97,80.14,reconstruido
2023-09-11,80.14,81.46,79.72,80.78,reconstruido
2023-09-18,80.78,81.98,80.63,80.88,reconstruido
2023-09-25,80.88,80.89,80.15,80.51,reconstruido
2023-10-02,80.51,80.69,80.00,80.48,reconstruido
2023-10-09,80.48,80.99,79.92,80.07,reconstruido
2023-10-16,80.07,80.50,79.81,80.05,reconstruido
2023-10-23,80.05,80.65,79.64,79.66,reconstruido
2023-10-30,79.66,80.32,78.21,78.37,reconstruido
2023-11-06,79.04,80.64,77.55,78.14,exacto
2023-11-13,78.14,79.01,77.64,78.56,reconstruido
2023-11-20,78.56,80.26,78.45,79.60,reconstruido
2023-11-27,79.60,81.08,79.58,80.53,reconstruido
2023-12-04,80.53,80.84,79.78,80.43,reconstruido
2023-12-11,80.43,81.23,79.52,80.59,reconstruido
2023-12-18,80.59,81.11,80.28,80.61,reconstruido
2023-12-25,80.61,81.21,79.77,80.73,reconstruido
2024-01-01,80.73,81.25,80.20,80.58,reconstruido
2024-01-08,80.58,81.94,80.45,80.85,reconstruido
2024-01-15,80.85,81.37,80.83,81.16,reconstruido
2024-01-22,81.16,81.34,80.33,80.82,reconstruido
2024-01-29,80.82,81.77,80.52,80.68,reconstruido
2024-02-05,80.68,80.90,80.43,80.45,reconstruido
2024-02-12,80.45,80.58,79.61,80.18,reconstruido
2024-02-19,80.18,80.24,79.21,79.42,reconstruido
2024-02-26,79.42,79.66,77.08,77.91,reconstruido
2024-03-04,77.91,77.97,76.67,77.16,reconstruido
2024-03-11,77.16,77.65,76.79,77.24,reconstruido
2024-03-18,77.24,77.83,75.74,76.62,reconstruido
2024-03-25,76.62,77.26,75.31,75.97,reconstruido
2024-04-01,75.97,76.62,75.55,76.16,reconstruido
2024-04-08,76.16,77.51,75.81,76.84,reconstruido
2024-04-15,76.84,78.21,76.60,77.46,reconstruido
2024-04-22,77.46,78.06,77.33,77.35,reconstruido
2024-04-29,77.35,77.78,76.68,77.63,reconstruido
2024-05-06,77.63,78.38,76.89,78.03,reconstruido
2024-05-13,78.03,78.74,77.64,78.47,reconstruido
2024-05-20,78.47,78.73,77.88,78.04,reconstruido
2024-05-27,78.04,78.69,77.56,78.05,reconstruido
2024-06-03,78.05,78.93,77.18,78.59,reconstruido
2024-06-10,78.59,79.74,78.31,79.22,reconstruido
2024-06-17,79.22,79.49,78.91,79.21,reconstruido
2024-06-24,79.21,79.30,78.60,78.90,reconstruido
2024-07-01,78.90,79.43,78.19,78.72,reconstruido
2024-07-08,78.72,79.82,78.01,78.74,reconstruido
2024-07-15,78.74,78.99,78.29,78.87,reconstruido
2024-07-22,78.87,79.35,78.42,78.77,reconstruido
2024-07-29,78.77,79.97,78.44,79.53,reconstruido
2024-08-05,79.53,80.90,78.57,80.02,reconstruido
2024-08-12,80.02,80.58,79.49,79.79,reconstruido
2024-08-19,79.79,79.79,78.63,79.49,reconstruido
2024-08-26,79.49,79.99,78.90,79.47,reconstruido
2024-09-02,79.47,80.03,79.15,79.57,reconstruido
2024-09-09,79.57,80.18,78.87,79.81,reconstruido
2024-09-16,79.81,79.87,79.48,79.62,reconstruido
2024-09-23,79.62,80.38,78.38,79.18,reconstruido
2024-09-30,79.18,79.70,78.40,79.34,reconstruido
2024-10-07,79.34,79.92,78.21,78.79,reconstruido
2024-10-14,78.79,79.20,78.09,78.59,reconstruido
2024-10-21,78.59,79.31,78.54,78.68,reconstruido
2024-10-28,78.68,78.93,77.94,77.96,reconstruido
2024-11-04,77.96,78.86,76.69,77.33,reconstruido
2024-11-11,77.33,77.58,75.99,76.42,reconstruido
2024-11-18,76.42,76.63,75.66,76.15,reconstruido
2024-11-25,76.81,77.94,74.82,75.13,exacto
2024-12-02,75.12,75.79,72.22,73.66,exacto
2024-12-09,73.66,74.49,73.45,74.22,reconstruido
2024-12-16,74.22,76.04,73.29,75.02,reconstruido
2024-12-23,75.02,76.06,74.34,75.34,reconstruido
2024-12-30,75.34,75.36,74.39,75.33,reconstruido
2025-01-06,75.33,75.93,74.82,75.66,reconstruido
2025-01-13,75.66,76.02,75.66,75.76,reconstruido
2025-01-20,75.76,76.21,75.65,76.20,reconstruido
2025-01-27,76.20,76.88,76.19,76.28,reconstruido
2025-02-03,76.28,76.70,75.52,76.70,reconstruido
2025-02-10,76.70,77.72,76.42,77.44,reconstruido
2025-02-17,77.44,78.06,76.88,77.89,reconstruido
2025-02-24,77.89,78.62,77.66,78.26,reconstruido
2025-03-03,78.26,79.07,78.26,78.72,reconstruido
2025-03-10,78.72,79.25,78.52,79.19,reconstruido
2025-03-17,79.19,80.08,78.52,79.77,reconstruido
2025-03-24,79.77,79.96,79.27,79.73,reconstruido
2025-03-31,79.73,80.34,79.27,79.52,reconstruido
2025-04-07,79.52,80.34,79.30,80.22,reconstruido
2025-04-14,80.22,80.84,79.85,80.45,reconstruido
2025-04-21,80.45,80.99,79.88,80.61,reconstruido
2025-04-28,80.61,81.05,80.56,80.84,reconstruido
2025-05-05,80.84,81.41,80.06,80.70,reconstruido
2025-05-12,80.70,81.34,79.59,80.17,reconstruido
2025-05-19,80.17,81.33,79.44,80.42,reconstruido
2025-05-26,80.42,80.58,79.67,80.31,reconstruido
2025-06-02,80.31,80.78,80.21,80.62,reconstruido
2025-06-09,80.62,81.79,80.26,81.27,reconstruido
2025-06-16,80.86,82.22,80.36,81.63,exacto
2025-06-23,81.63,82.21,81.41,81.67,reconstruido
2025-06-30,81.67,81.77,81.16,81.46,reconstruido
2025-07-07,81.46,81.48,80.90,81.09,reconstruido
2025-07-14,81.09,81.29,80.47,80.60,reconstruido
2025-07-21,80.60,81.29,79.41,80.21,reconstruido
2025-07-28,80.21,80.33,79.82,79.99,reconstruido
2025-08-04,79.99,80.30,79.37,79.43,reconstruido
2025-08-11,79.43,79.57,79.08,79.51,reconstruido
2025-08-18,79.51,80.22,78.68,79.47,reconstruido
2025-08-25,79.47,80.17,78.72,79.13,reconstruido
2025-09-01,79.13,79.52,78.57,78.85,reconstruido
2025-09-08,78.85,79.78,78.43,78.51,reconstruido
2025-09-15,78.51,78.59,78.08,78.59,reconstruido
2025-09-22,78.59,78.78,77.87,78.37,reconstruido
2025-09-29,78.37,78.69,78.12,78.22,reconstruido
2025-10-06,78.22,79.34,77.60,78.50,reconstruido
2025-10-13,78.50,78.79,78.29,78.78,reconstruido
2025-10-20,78.78,79.39,78.66,79.19,reconstruido
2025-10-27,79.19,79.61,78.72,79.56,reconstruido
2025-11-03,79.56,80.63,78.76,79.90,reconstruido
2025-11-10,79.90,79.97,79.72,79.90,reconstruido
2025-11-17,79.90,80.19,79.79,79.89,reconstruido
2025-11-24,79.89,80.86,79.83,80.19,reconstruido
2025-12-01,80.19,80.97,79.78,80.51,reconstruido
2025-12-08,80.30,81.14,79.64,80.35,exacto
2025-12-15,80.35,80.46,79.92,80.02,reconstruido
2025-12-22,80.02,80.24,79.96,80.04,reconstruido
2025-12-29,80.04,80.94,79.16,80.09,reconstruido
2026-01-05,80.09,80.61,79.31,79.89,reconstruido
2026-01-12,79.89,80.34,79.26,79.71,reconstruido
2026-01-19,79.71,80.01,79.27,79.55,reconstruido
2026-01-26,79.55,79.92,78.95,79.61,reconstruido
2026-02-02,79.61,79.67,79.09,79.35,reconstruido
2026-02-09,79.35,79.72,79.15,79.20,reconstruido
2026-02-16,79.20,80.16,78.66,79.55,reconstruido
2026-02-23,79.55,80.03,79.33,79.44,reconstruido
2026-03-02,79.44,79.86,79.30,79.76,reconstruido
2026-03-09,79.76,80.38,79.27,80.22,reconstruido
2026-03-16,80.22,80.51,79.45,80.38,reconstruido
2026-03-23,80.38,81.10,79.79,80.56,reconstruido
2026-03-30,80.56,80.90,79.95,80.30,reconstruido
2026-04-06,80.30,80.43,80.07,80.22,reconstruido
2026-04-13,80.22,80.80,79.84,80.53,reconstruido
2026-04-20,80.53,81.32,79.89,80.54,reconstruido
2026-04-27,80.54,80.59,79.73,80.27,reconstruido
2026-05-04,80.27,80.77,79.92,79.98,reconstruido
2026-05-11,79.98,80.13,79.46,79.91,reconstruido
2026-05-18,79.91,80.56,79.62,80.10,reconstruido
2026-05-25,80.10,80.32,79.96,80.30,reconstruido
2026-06-01,80.30,81.01,79.66,80.13,reconstruido
2026-06-08,80.13,81.37,79.46,80.58,reconstruido
2026-06-15,80.58,80.75,79.94,80.46,reconstruido
2026-06-22,80.46,80.98,80.42,80.82,reconstruido
2026-06-29,80.82,81.27,80.68,81.06,reconstruido
2026-07-06,81.06,81.18,80.78,81.03,reconstruido
2026-07-13,81.03,81.40,80.52,81.15,reconstruido
2026-07-20,81.15,82.06,80.55,80.72,reconstruido
2026-07-27,80.72,81.34,80.41,80.91,reconstruido
2026-08-03,80.91,80.96,80.41,80.64,reconstruido
2026-08-10,80.64,80.91,79.88,80.22,reconstruido
2026-08-17,80.22,81.00,80.17,80.78,reconstruido
2026-08-24,80.78,81.65,80.54,81.27,coingecko
2026-08-31,81.27,81.38,80.62,80.62,coingecko
